Date,Description,Debit,Credit,Category
1/2/2018,VISA - 12/31 APL ITUNES.COM/BILL 866-712-7753 CA 031360,-0.99,,UNCATEGORIZED
1/2/2018,VISA - 12/30 APL* ITUNES.COM/BILL 866-712-7753 CA 030346,-4.26,,UNCATEGORIZED
1/2/2018,VISA - 12/28 CARL'S JR #1100241 WEST VALLEY C UT 028323,-5.38,,UNCATEGORIZED
1/2/2018,VISA - 12/28 ABM PARKING AXIS GARAGE 7 SALT LAKE CIT UT 0,-6,,UNCATEGORIZED
1/2/2018,VISA - 12/30 GREAT STEAK & POTATO SALT LAKE CIT UT 030784,-7.4,,UNCATEGORIZED
1/2/2018,VISA - 12/27 ARBYS #1239 SANDY SANDY UT 027562,-9.58,,UNCATEGORIZED
1/2/2018,VISA - 12/30 ARBYS #1239 SANDY SANDY UT 030755,-12.9,,UNCATEGORIZED
1/2/2018,VISA - 12/30 UTA-FRONTRUNNER TVM SALT LAKE CTY UT 030368,-15,,UNCATEGORIZED
1/2/2018,VISA - 12/30 CHICK-FIL-A #03121 SALT LAKE CTY UT 030462,-24.76,,UNCATEGORIZED
1/2/2018,VISA - 12/31 PAPA MURPHY'S UT013 WEST JORDAN UT 031411,-45.94,,UNCATEGORIZED
1/2/2018,VISA - 12/31 THE ORIGINAL PANCAKE HOUS MIDVALE UT 031528,-64.23,,UNCATEGORIZED
1/2/2018,POINT OF SALE PURCHASE US UT MIDVALE SMITHS 980 E. FT. UNION,-44.65,,UNCATEGORIZED
1/2/2018,POINT OF SALE PURCHASE US UT SALT LAKE CIT MAVERIK #324 8800W 3300 SOUTH,-28.12,,UNCATEGORIZED
1/3/2018,VISA - 12/31 9000 S STATE CHRISTMAS TR SANDY UT 031123,-8.52,,UNCATEGORIZED
1/3/2018,AUTOMATIC WITHDRAWAL SANDY SUBURBAN IDEBITS WEB(R ),-30.08,,UNCATEGORIZED
1/3/2018,POINT OF SALE PURCHASE US UT SANDY COSTCO WHSE #0487,-147.35,,UNCATEGORIZED
1/3/2018,AUTOMATIC WITHDRAWAL WF HOME MTG AUTO PAY PPD,-798.64,,UNCATEGORIZED
1/4/2018,AUTOMATIC WITHDRAWAL DOMINION ENERGY QGC PPD,-99.17,,UNCATEGORIZED
1/4/2018,ONLINE CHECK DEPOSIT,,18,UNCATEGORIZED
1/4/2018,ONLINE CHECK DEPOSIT,,31.69,UNCATEGORIZED
1/5/2018,VISA - 01/02 KNEADERS FT UNION MIDVALE UT 002708,-21.75,,UNCATEGORIZED
1/5/2018,VISA - 01/02 JACK MORMON COFFEE SALT LAKE CIT UT 002005,-48.5,,UNCATEGORIZED
1/5/2018,POINT OF SALE PURCHASE US UT WEST JORDAN SMITHS 1820 W. 9000 S.,-39.06,,UNCATEGORIZED
1/6/2018,POINT OF SALE PURCHASE US UT WEST JORDAN PETSMART # 1784 7654 CAMPUS VIEW D,-16.81,,UNCATEGORIZED
1/6/2018,POINT OF SALE PURCHASE US UT WEST JORDAN BARNESNOBLE 7157 PLAZA,-11.74,,UNCATEGORIZED
1/6/2018,POINT OF SALE PURCHASE US UT WEST JORDAN SMITHS 1820 W. 9000 S.,-35.75,,UNCATEGORIZED
1/6/2018,ONLINE BANKING FUNDS TRANSFER,,400,UNCATEGORIZED
1/6/2018,ONLINE CHECK DEPOSIT,,80,UNCATEGORIZED
1/8/2018,VISA - WA SEATTLE AMAZON.COM AMAZON.COM,-26.95,,UNCATEGORIZED
1/8/2018,VISA - 01/06 PROPER BREWING SALT LAKE CIT UT 006484,-7,,UNCATEGORIZED
1/8/2018,VISA - 01/06 PROPER BURGER SALT LAKE CIT UT 006082,-11.97,,UNCATEGORIZED
1/8/2018,VISA - 01/05 A BAR NAMED SUE ON STATE MIDVALE UT 004807,-29.27,,UNCATEGORIZED
